Anks1b-Bait	Syngap1-Bait	Shank2-Bait	Shank3-Bait	Nckap1-Bait	Nbea-Bait	Ctnnb1-Bait	Lrrc4c-Bait	Iqsec2-Bait	Arhgef9-Bait	Ank3-Bait	Scn2a-Bait	Scn8a-Bait	Hnrnpu-Bait
Homer1	Wwc1		Wdr24	Arfgap1	Grm1	Fermt2	Dlgap2	Pik3cb	Gale	Slc6a7	Ank1	Kcnb2	Nono
Ocrl	Patl1		Fhl1	Plppr1	Scyl2	Slitrk5	Nectin1	Cacng3	Ndrg1	Cox6a1	Epn1	Kcnq3	Sf1
Tdrd3	Homer2		Adgrb3	Cplx1	Prrc1	Igsf11	Gabrg2	Anks1b	Eif3e	Ppm1b	Erc1	Prpf3	Rprd2
Nyap1	Prag1		Eif5a	Tnrc6b	Nudc	Tjp1	Scrib	Gria2	Ctbp2	Ralbp1	Slc12a6	Kpna3	Qki
Gria3	Dennd1a		Grin2b	Ahi1	Ranbp9	Nectin1	Plppr3	Wasf1	Coq6	Tmem163	Igbp1	Kcnh5	Taldo1
Wwc1	N4bp3		Nme7	Gigyf1	Kctd12	Pak6	Elfn1	Ppp1r16b	Gabra1	Sirt2	Scn2b	Ncoa7	Snrpb
Asap2	Ncor1		Itsn1	Cttnbp2nl	Vps37a	Acot2	Btbd11	Epb41l4b	Brinp1	Kctd3	Kcnq2	Pigk	Etnppl
Epb41l4b	Abi1		Dcaf7	Shisa9	Azi2	C1orf198 homolog	Anks1b	Homer1	Jcad	Mtss2	Otud7a	Glo1	Elavl3
Prag1	Tnrc6c		Ints1	Tacc1	Kcnip4	Ptpn13	Tamalin	Dlgap1	Gabrb3	Asap1	Pak1	Slc12a6	Dhx9
Grin2a	Spata2		Cttn	Top3b	Akap8	Cdh4	Wasf3	Iqsec2	Eif3f	Arl6ip5	Scn1a	Them6	Khsrp
Rbm12	Shisa6		Hbs1l	Tnrc6a	Blmh	Ctnna1	Sirpa	Sytl5	Vps45	Eif4g1	Pebp1	Pak1	Cstf2
Tnrc6a	Dlgap1		Iqsec2	Magi2	Snap91	Jup	Ykt6	Adgrb2		Kcnc3	Pcmt1	Epn2	Tcf20
Edc3	Gria1		Togaram1	Ensa	Asap1	Tjp2	Nck2	Bcar3		Akap5	Gga3	Shb	Ppp1r10
Dlgap3	Shank2		Hnrnpa1	Kirrel3	Zyx	Dennd1a	Zdhhc8	Frmpd4		Ankrd17	Apba2	Gga1	Safb
Zdhhc8	Elfn1		Fgg	Nyap2	Aatk	P33monox	Astn1	Prickle1		Ank3	Arhgdia	Nck1	Hnrnpm
Anks1b	Iqsec2		Gaa	Zfr	Fam171b	Usp54	Dlg2	Minar1		Rtn4	Rabep1	Wdr20	Xrn2
Dlg3	Arc		Tjp1	Pcdh19	Kcnc3	Magi3	Tenm2	Arc		Magi2	Smg6	Cdv3	Cdkn2aip
Trim9	Anks1a		Map4k5	Ddn	Atp7a	Ddn	Dlgap3	Grik5		Rap1gap	Pacsin1	Kcnc1	Snrpd3
Plekha6	Trim9		Acss1	Tanc1	Rab11fip5	Necap2	Erbb4	Gda		Csnk2a1	Tppp3	Slc4a10	Hnrnpul2
Arap1	Tanc1		Mfn1	Plppr4	Nectin1	Fam171b	Gria2	Abi1		Amer2	Kctd12	Stk26	Eftud2
Elmo1	Sh3rf1		Shisa9	Kctd12	Ap4b1	Swap70	Shank3	Dab2ip		Them6	Kcnq3	Cadm2	Rpl4
Ppp1r16b	Wasf1		Ago2	Robo2	Wasf3	Slc4a4	Ptprf	Enah		Pebp1	Kcnh5	Aatk	Nup50
Abi2	Frmpd4		Spata5	Enah	Glo1	Dennd4c	Naxd	Lrrc7		Wasf3	Cemip2	Spata2	Ptbp1
Tnrc6c	Arhgef9		Rps18	Rap1gap	Stx7	Amot	Gabra1	Adgrb1		Wdr47	Kcnma1	Sptb	Sf3a2
Arfgap2	Plekha6		Dlg1	Amer2	Gnpda1	Lzts3	Neo1	Fnbp1l		Tigar	Anxa6	Sun1	Ptpn1
Grasp	Mb21d2		Uhrf1bp1l	Elfn2	Lrch2	Grip1	Asic1	Nlgn1		Cbarp	Dcc	Pak2	Nfix
Tenm3	Prickle2		Ptprf	Peak1	Gabra2	Trim9	Dlg4	Grid1		Lzts3	Syap1	Pitpnm1	Xab2
Ncor2	Ppp1r13b			Nhsl2	Kctd3	Frs3	Gda	Dchs1		Gprin1	Elfn1	Map4k3	Cbr4
Nebl	Tnik			Vps37a	Gabrb1	Robo1	Tenm4	Wwc1		Cyld	Wdr20	Actr1a	Snrnp200
Hnrnpa2b1	Minar1			Asap2	Neto1	Zyx	Pals2	Mb21d2		Dlg5	Wdr44	Smg6	Rpl22l1
Tanc1	Tbr1			Igsf9b	Gabrg2	Nyap1	Fam171b	Dlg1		Itsn1	Cbarp	Snap91	Rbm33
Igbp1	Gigyf2			Cyld	Rtn4	Dtna	Shank1	Prickle2		Eif4enif1	Ykt6	Fam114a2	Ptprk
Gda	Sipa1l1			Arhgap35	Astn2	Enah	Ddn	Ddn		Pitpnm1	Picalm	Ppp1r1b	Zc3h14
Dlgap2	Cpeb2			Lrrc7	Ap4e1	Sh3pxd2b	Fnbp1l	Tnrc6c		Epn2	Gprin3	Amer2	Srrm2
Golga3	Grid1			Akap8	Fam163b	Micall2	Nf2	Gse1		Kcnb1	Magi2	Emd	Elavl4
Flrt1	Nlgn1			Nyap1	Kcnq2	Sorbs1	Tenm3	Arhgef9		Picalm	Scamp1	Igbp1	Strbp
Erbb4	Mtus2			Picalm	Gabra1	Amer2	Cpne8	Erbin		Kcnq2	Fam171b	Cbarp	Znf326
Cdkl5	Plekha7			Mylk3	Fam234b	Egfr	Gabra3	Dock3		Jakmip1	Asap1	Gpr158	Zc3h4
Dlgap4	Gda			Snap91	Arhgap35	Wasf3	Prickle2	Nyap1		Kcnb2	Ist1	Plcb1	Enpp6
Cntrob	Nck1			Srgap1	Znf365	Atp2a3	Kcnj3	Neto1		Insyn1	Ppp2r5a	Ykt6	Tardbp
Kiaa0232	Pik3cb			Tjp1	Nlgn2	Vps13c	Lrrc7	Plxna1		Rock2	Stxbp5	Slc25a13	Tox4
Dennd1a	Spata2l			Elmo1	Gphn	Tns3	Gabrb1	Arhgap10		Mtmr6	Plcb1	Csnk2b	Acly
Arhgap32	Lrrtm4			Fnbp1l	Pex5l	Plppr3	Brinp1	Unk		Kpna3	Efnb1	Stxbp5	Prpf31
Cacng8	Nyap1			Dlgap4	Cap1	Lmcd1	Astn2	Prag1		Scamp1	Fam114a2	Kcnma1	Tdrd3
Ahi1	Epb41l4b			Map3k10	Slc4a10	Nrxn1	Sh3kbp1	Ncor2		Ttbk2	Palm	Armc6	Dhx15
Gigyf2	Adgrb2			Wwc1	Apba2	Ncor2	Shank2	Jmy		Pip4k2b	Sptb	Pym1	Rrbp1
Dact3	Smg7			Rock1	Adgrb3	Igbp1	Dock3	Lasp1		Jup	Ciapin1	Rrbp1	Acot7
Cdh2	Sipa1l3			Nck1	Ddhd1	Magi1	Cacng3	Grm8		Nudt9	Nudt9	Vps45	Matr3
Gria1	Ddn			Srcin1	Fam117b	Rassf8	N4bp3	Patl1		Limch1	Ank3	Golga4	Sltm
Kcnma1	Nebl			Mlip	Lrrc4c	Plekha6	Magi1	Nedd4l		Cct8	Kcnh1	Picalm	Celf1
Cdh7	Nyap2			Tdrd3	Rpl8	Akap2	Cdh7	Nyap2		Pik3ca	Tenm4	Vps35	Tcerg1
Anks1a	Prrc2b			Frs3	Tmem200a	Mb21d2	Pak6	Cntrl		Map7	Camsap1	Zfyve19	Rbmxl1
Ajm1	Astn1			Tln1	Tex2	Sirpa	Slc4a10	Gas7		Prpf3	Ppm1b	Crbn	Smg7
